scope,variable,n,missing_n,missing_pct
overall,mean_sodium,1357,0,0.0
overall,mean_potassium,1357,0,0.0
overall,mean_protein,1357,0,0.0
overall,mean_magnesium,1357,0,0.0
overall,mean_kcal,1357,0,0.0
overall,serum_sodium,1357,0,0.0
overall,egfr,1357,0,0.0
overall,bmi,1357,0,0.0
overall,diabetes,1357,4,0.2947678703021371
overall,hypertension,1357,1,0.07369196757553427
overall,cvd,1357,9,0.6632277081798084
overall,pir,1357,112,8.253500368459838
overall,wasting_days,1357,0,0.0
cycle_E,mean_sodium,248,0,0.0
cycle_E,mean_potassium,248,0,0.0
cycle_E,mean_protein,248,0,0.0
cycle_E,mean_magnesium,248,0,0.0
cycle_E,mean_kcal,248,0,0.0
cycle_E,serum_sodium,248,0,0.0
cycle_E,egfr,248,0,0.0
cycle_E,bmi,248,0,0.0
cycle_E,diabetes,248,1,0.4032258064516129
cycle_E,hypertension,248,0,0.0
cycle_E,cvd,248,3,1.2096774193548387
cycle_E,pir,248,20,8.064516129032258
cycle_E,wasting_days,248,0,0.0
cycle_F,mean_sodium,238,0,0.0
cycle_F,mean_potassium,238,0,0.0
cycle_F,mean_protein,238,0,0.0
cycle_F,mean_magnesium,238,0,0.0
cycle_F,mean_kcal,238,0,0.0
cycle_F,serum_sodium,238,0,0.0
cycle_F,egfr,238,0,0.0
cycle_F,bmi,238,0,0.0
cycle_F,diabetes,238,1,0.42016806722689076
cycle_F,hypertension,238,0,0.0
cycle_F,cvd,238,1,0.42016806722689076
cycle_F,pir,238,20,8.403361344537815
cycle_F,wasting_days,238,0,0.0
cycle_G,mean_sodium,224,0,0.0
cycle_G,mean_potassium,224,0,0.0
cycle_G,mean_protein,224,0,0.0
cycle_G,mean_magnesium,224,0,0.0
cycle_G,mean_kcal,224,0,0.0
cycle_G,serum_sodium,224,0,0.0
cycle_G,egfr,224,0,0.0
cycle_G,bmi,224,0,0.0
cycle_G,diabetes,224,0,0.0
cycle_G,hypertension,224,0,0.0
cycle_G,cvd,224,2,0.8928571428571428
cycle_G,pir,224,21,9.375
cycle_G,wasting_days,224,0,0.0
cycle_H,mean_sodium,214,0,0.0
cycle_H,mean_potassium,214,0,0.0
cycle_H,mean_protein,214,0,0.0
cycle_H,mean_magnesium,214,0,0.0
cycle_H,mean_kcal,214,0,0.0
cycle_H,serum_sodium,214,0,0.0
cycle_H,egfr,214,0,0.0
cycle_H,bmi,214,0,0.0
cycle_H,diabetes,214,1,0.46728971962616817
cycle_H,hypertension,214,0,0.0
cycle_H,cvd,214,0,0.0
cycle_H,pir,214,10,4.672897196261682
cycle_H,wasting_days,214,0,0.0
cycle_I,mean_sodium,230,0,0.0
cycle_I,mean_potassium,230,0,0.0
cycle_I,mean_protein,230,0,0.0
cycle_I,mean_magnesium,230,0,0.0
cycle_I,mean_kcal,230,0,0.0
cycle_I,serum_sodium,230,0,0.0
cycle_I,egfr,230,0,0.0
cycle_I,bmi,230,0,0.0
cycle_I,diabetes,230,1,0.43478260869565216
cycle_I,hypertension,230,0,0.0
cycle_I,cvd,230,1,0.43478260869565216
cycle_I,pir,230,19,8.26086956521739
cycle_I,wasting_days,230,0,0.0
cycle_J,mean_sodium,203,0,0.0
cycle_J,mean_potassium,203,0,0.0
cycle_J,mean_protein,203,0,0.0
cycle_J,mean_magnesium,203,0,0.0
cycle_J,mean_kcal,203,0,0.0
cycle_J,serum_sodium,203,0,0.0
cycle_J,egfr,203,0,0.0
cycle_J,bmi,203,0,0.0
cycle_J,diabetes,203,0,0.0
cycle_J,hypertension,203,1,0.49261083743842365
cycle_J,cvd,203,2,0.9852216748768473
cycle_J,pir,203,22,10.83743842364532
cycle_J,wasting_days,203,0,0.0
