"label","outcome","n","key_group_n","key_group_events","pr","pr_lower","pr_upper","rd","rd_lower","rd_upper","serum_na_difference","na_lower","na_upper","adverse_direction"
"primary","hyponatremia_135",1235,275,23,0.426544376421703,0.169644501312154,1.07247864593147,-0.0813476302426009,-0.169394630695063,0.00669937020986112,0.408647633799446,-0.392991697841159,1.21028696544005,FALSE
"strict_na_lt_135","strict_hyponatremia_134",1235,275,15,0.632617058577383,0.20871177460712,1.91749767619219,-0.0185070021006227,-0.0677020236477645,0.0306880194465191,0.408647633799446,-0.392991697841159,1.21028696544005,FALSE
"low_1800","hyponatremia_135",1151,191,14,0.378638407646731,0.121827107596831,1.17680741645533,-0.0878807687668884,-0.186849616598666,0.0110880790648892,0.388384602276502,-0.478941163074467,1.25571036762747,FALSE
"higher_3000","hyponatremia_135",996,275,23,0.429521224007198,0.140880029699911,1.30954317844496,-0.0713526252198064,-0.170418924914133,0.0277136744745206,0.334073371762535,-0.535249201254567,1.20339594477964,FALSE
"day1","hyponatremia_135",1072,238,17,0.351484220451336,0.130626048085938,0.945762036259462,-0.0837336849039286,-0.160166131954752,-0.00730123785310491,0.46537112835943,-0.301145154198105,1.23188741091696,FALSE
"egfr_ge_60","hyponatremia_135",1054,232,18,0.430111800444139,0.156799747389861,1.17982435533733,-0.0782192527541499,-0.17269284087225,0.0162543353639505,0.35225295333701,-0.458698929957635,1.16320483663165,FALSE
"no_raas","hyponatremia_135",313,75,6,0.369432984334475,0.0878274267286355,1.55396480345448,-0.0460288918647904,-0.159578382352048,0.0675205986224673,0.572323291761928,-0.672785622540625,1.81743220606448,FALSE
"no_ppi","hyponatremia_135",1003,221,18,0.574811887278695,0.202794047124707,1.62928207430918,-0.0489563824341522,-0.137111232751667,0.0391984678833625,0.180083088437145,-0.642803064960157,1.00296924183445,FALSE
"chronic_30d","hyponatremia_135",1222,271,23,0.433406686689008,0.170210639559212,1.10358175348609,-0.0784443702978157,-0.166084576283101,0.00919583568747018,0.388832263769882,-0.410848435567915,1.18851296310768,FALSE
"women","hyponatremia_135",665,205,16,0.389371545610873,0.14038577972706,1.07995411519716,-0.0931930791698457,-0.194590048118938,0.00820388977924644,0.209513988685589,-0.731885088607718,1.1509130659789,FALSE
"men","hyponatremia_135",570,70,7,0.566089587660153,0.167966207464572,1.90786841052439,-0.0305270587949771,-0.116683821242225,0.0556297036522707,0.350609646958853,-0.75087156899149,1.4520908629092,FALSE
"age_65_plus","hyponatremia_135",594,154,13,0.186535543296017,0.0593700540652848,0.586078444100424,-0.133690742013301,-0.238718725229965,-0.0286627587966373,1.14862957686515,0.218129336049341,2.07912981768095,FALSE
"add_bicarbonate","hyponatremia_135",1235,275,23,0.432928878106952,0.172713430227251,1.08519304637939,-0.0851742572220936,-0.172715555523703,0.00236704107951571,0.472784085028725,-0.324179153727666,1.26974732378512,FALSE
"leave_out_E","hyponatremia_135",1009,214,17,0.395388091144787,0.139908076749231,1.11738897604407,-0.0856840421690581,-0.185995683227812,0.0146275988896958,0.502512414006312,-0.412154529287765,1.41717935730039,FALSE
"leave_out_F","hyponatremia_135",1018,224,19,0.399403154731512,0.13839416249675,1.15267058329307,-0.0927292014631927,-0.197746512032613,0.0122881091062273,0.53833481457166,-0.344503310689584,1.4211729398329,FALSE
"leave_out_G","hyponatremia_135",1034,241,21,0.692037905829227,0.261629444971293,1.83051438708304,-0.040131342835876,-0.11639515312627,0.0361324674545181,-0.0237171871590423,-0.885731853073588,0.838297478755503,FALSE
"leave_out_H","hyponatremia_135",1032,233,19,0.380174091678036,0.143036579787925,1.01045718652887,-0.0937491432063404,-0.188792524549826,0.00129423813714509,0.588693279743273,-0.289552439970583,1.46693899945713,FALSE
"leave_out_I","hyponatremia_135",1026,228,19,0.479988971844802,0.161150846141556,1.4296506571877,-0.0728209205257781,-0.175506970262776,0.02986512921122,0.288261245929076,-0.598611218831619,1.17513371068977,FALSE
"leave_out_J","hyponatremia_135",1056,235,20,0.328420059022382,0.125255714224279,0.861116283885735,-0.104500903945272,-0.201320796746093,-0.00768101114445001,0.507188293780397,-0.337334815086312,1.35171140264711,FALSE
